dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,total_manure_gen_tons,total_manure_gen_s_lbs,city,region,sub_region,year,county,state,zip,latitude,longitude,consultant,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID
,,0,0,0,0,0,0,0,0,12321.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2.6.2025_Schaffner Dairy_2024 Annual Report.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,8872.66,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2.18.2025_Superior Cattle Feeders_FairlineYard7A137777019_2024Report_Revised_LR.JFA.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,13331.87,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,1.30.2025_Superior Cattle Feeders_MainYard7A137777021_Annual Report_Jan2024-Dec2024_jf.lr.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,17456.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2.18.2025_ElToro_Land and Cattle_McCabe Yard_LR.JFA.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2.12.2025_BrandtCo_Cattle Feeding_2024 Annual Report_JFA.LR.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,13912.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,1.30.2025_Superior Cattle Feeders_Kershaw7A137777020_Annual Report_Jan2024-Dec.2024_jf.lr.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2.18.2025_ElToro_Land and Cattle_Meloland Yard_LR.JFA.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,26080.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2.18.2025_ElToro_Land and Cattle_Heber Yard_LR.JFA.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,2210.0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2024 - Annual Report Hacienda.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,4915.44,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,2.18.2025_Superior Cattle Feeders_ButterspurYard7A137777028_2024Report_Revised_LR.JFA.pdf,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
